id,name,price,link,source
82,"HOMCOM 7000 BTU Air Conditioner Portable AC Unit with Remote, for Bedroom",266.99,https://www.diy.com/departments/homcom-7000-btu-air-conditioner-portable-ac-unit-with-remote-for-bedroom/5056534579050_BQ.prd,BQ
82,Daewoo 7000 BTU Portable Air Conditioner,260,https://www.wickes.co.uk/Daewoo-7000-BTU-Portable-Air-Conditioner/p/230080,Wickes
83,HOMCOM 8000 BTU Portable Air Conditioner 4 Modes LED Display Timer Home Office,269.99,https://www.diy.com/departments/homcom-8000-btu-portable-air-conditioner-4-modes-led-display-timer-home-office/5056399125713_BQ.prd,BQ
84,"HOMCOM 7000 BTU Air Conditioner Portable AC Unit with Remote, for Bedroom",266.99,https://www.diy.com/departments/homcom-7000-btu-air-conditioner-portable-ac-unit-with-remote-for-bedroom/5056534579050_BQ.prd,BQ
84,Daewoo 7000 BTU Portable Air Conditioner,260,https://www.wickes.co.uk/Daewoo-7000-BTU-Portable-Air-Conditioner/p/230080,Wickes
85,HOMCOM 8000 BTU Portable Air Conditioner 4 Modes LED Display Timer Home Office,269.99,https://www.diy.com/departments/homcom-8000-btu-portable-air-conditioner-4-modes-led-display-timer-home-office/5056399125713_BQ.prd,BQ
86,HOMCOM 10000 BTU Portable Air Conditioner 4 Modes LED Display Timer Home Office,369.99,https://www.diy.com/departments/homcom-10000-btu-portable-air-conditioner-4-modes-led-display-timer-home-office/5056399125683_BQ.prd,BQ
87,"VonHaus Air Conditioner 9000BTU, Portable Air Conditioning Unit with Remote Control, 4 Modes, 24hr Timer, LED Screen",299.99,https://www.diy.com/departments/vonhaus-air-conditioner-9000btu-portable-air-conditioning-unit-with-remote-control-4-modes-24hr-timer-led-screen/5056115790034_BQ.prd,BQ
89,HOMCOM 7000BTU Portable Air Conditioner 4 Modes LED Display Timer Home Office Black,249.99,https://www.diy.com/departments/homcom-7000btu-portable-air-conditioner-4-modes-led-display-timer-home-office-black/5056399125706_BQ.prd,BQ
90,HOMCOM 5000 BTU Portable Air Conditioner 4 Modes LED Display Timer Home Office,223.99,https://www.diy.com/departments/homcom-5000-btu-portable-air-conditioner-4-modes-led-display-timer-home-office/5056399125690_BQ.prd,BQ
91,"VonHaus Air Conditioner 7000BTU, Portable Air Conditioning Unit with Remote Control, 4 Modes, 24hr Timer, LED Screen",279.99,https://www.diy.com/departments/vonhaus-air-conditioner-7000btu-portable-air-conditioning-unit-with-remote-control-4-modes-24hr-timer-led-screen/5056115707667_BQ.prd,BQ
92,HOMCOM 7000BTU Portable Air Conditioner 4 Modes LED Display Timer Home Office Black,249.99,https://www.diy.com/departments/homcom-7000btu-portable-air-conditioner-4-modes-led-display-timer-home-office-black/5056399125706_BQ.prd,BQ
94,HOMCOM 9000 BTU Portable Air Conditioner 4 Modes LED Display Timer Home Office White,308.99,https://www.diy.com/departments/homcom-9000-btu-portable-air-conditioner-4-modes-led-display-timer-home-office-white/5056399125652_BQ.prd,BQ
95,GoodHome Malay 9000BTU Local air conditioner,299,https://www.diy.com/departments/goodhome-malay-9000btu-local-air-conditioner/5063022060280_BQ.prd,BQ
95,Daewoo 9000 BTU Portable Air Conditioner,290,https://www.wickes.co.uk/Daewoo-9000-BTU-Portable-Air-Conditioner/p/233884,Wickes
97,Yale Premium+ Burglar Alarm Kit,179.99,https://www.screwfix.com/p/yale-premium-burglar-alarm-kit/7338x,Screwfix
100,Yale HSA Essentials Burglar Alarm Kit,119.99,https://www.screwfix.com/p/yale-hsa-essentials-burglar-alarm-kit/344jf,Screwfix
102,Yale Shed & Garage Security Alarm,16,https://www.wickes.co.uk/Yale-Shed+Garage-Security-Alarm/p/257412,Wickes
109,Yale HSA6060 Remote Control Alarm Key Fob,19.99,https://www.screwfix.com/p/yale-hsa6060-remote-control-alarm-key-fob/64786,Screwfix
110,Swann PIR Motion Detector,29.99,https://www.screwfix.com/p/swann-pir-motion-detector/409rf,Screwfix
110,Yale Home Security Motion Detector Intruder Alarm AC-PIR,40,https://www.wickes.co.uk/Yale-Home-Security-Motion-Detector-Intruder-Alarm-AC-PIR/p/210127,Wickes
112,Yale HSA6060 Remote Control Alarm Key Fob,19.99,https://www.screwfix.com/p/yale-hsa6060-remote-control-alarm-key-fob/64786,Screwfix
112,Yale Smart Living AC-KF Sync Key Fob,30,https://www.wickes.co.uk/Yale-Smart-Living-AC-KF-Sync-Key-Fob/p/210135,Wickes
113,Hive  Window / Door Sensor,29.98,https://www.screwfix.com/p/hive-window-door-sensor/1372v,Screwfix
117,Yale  Smart Home Burglar Alarm System - Starter Kit,229.99,https://www.screwfix.com/p/yale-smart-home-burglar-alarm-system-starter-kit/735gx,Screwfix
