main_name,category,bq_name,tp_name,bradfords_name,builderdepot_name,homebase_name,jewson_name,screwfix_name,toolstation_name,wickes_name
Einhell Power X-Change 18V 115m Cordless Angle Grinder TE-AG 18/115 Li Solo,Angle grinders,Einhell Power X-Change 18V 115m Cordless Angle Grinder TE-AG 18/115 Li Solo,,,,,,,,
KOTA White MDF Torus Architrave (L)2.18m (W)69mm (T)18mm,Architrave,KOTA White MDF Torus Architrave (L)2.18m (W)69mm (T)18mm,,,,,,,,
GoodHome Planed Natural Pine Torus Architrave (L)2.1m (W)58mm (T)15mm,Architrave,GoodHome Planed Natural Pine Torus Architrave (L)2.1m (W)58mm (T)15mm,,,,,,,,
GoodHome Primed White MDF Torus Architrave (L)2.1m (W)69mm (T)18mm,Architrave,KOTA White MDF Torus Architrave (L)2.18m (W)69mm (T)18mm,,,,,,,,
GoodHome Primed White MDF Chamfered Architrave (L)2.1m (W)44mm (T)14.5mm,Architrave,GoodHome Primed White MDF Chamfered Architrave (L)2.1m (W)44mm (T)14.5mm,,,,,,,,
GoodHome Primed White MDF Rounded Architrave (L)2.1m (W)44mm (T)14.5mm,Architrave,GoodHome Primed White MDF Chamfered Architrave (L)2.1m (W)44mm (T)14.5mm,,,,,,,,
GoodHome Planed Natural Pine Rounded Architrave (L)2.1m (W)44mm (T)15mm,Architrave,GoodHome Planed Natural Pine Rounded Architrave (L)2.1m (W)44mm (T)15mm,,,,,,,,
GoodHome Primed White MDF Square edge Architrave (L)2.1m (W)44mm (T)18mm,Architrave,GoodHome Primed White MDF Square edge Skirting board (L)2.4m (W)144mm (T)18mm,,,,,,,,
GoodHome Planed Natural Pine Chamfered Architrave (L)2.1m (W)44mm (T)15mm,Architrave,GoodHome Planed Natural Pine Rounded Architrave (L)2.1m (W)44mm (T)15mm,,,,,,,,
"GoodHome Primed White MDF Torus Architrave (L)2.1m (W)69mm (T)18mm, Pack of 5",Architrave,KOTA White MDF Torus Architrave (L)2.18m (W)69mm (T)18mm,,,,,,,,
GoodHome Primed White MDF Ogee Architrave (L)2.1m (W)69mm (T)18mm,Architrave,GoodHome Primed White MDF Ogee Skirting board (L)2.4m (W)169mm (T)18mm,,,,,,,,
GoodHome Planed Natural Pine Ogee Architrave (L)2.1m (W)58mm (T)15mm,Architrave,GoodHome Planed Natural Pine Torus Architrave (L)2.1m (W)58mm (T)15mm,,,,,,,,
