product,price,category,link,image,description
Bsw Green Treated Pointed Pegs 50 x 50mm x 0.6m,£5.62,Site Pegs,https://www.travisperkins.co.uk/site-pegs/bsw-green-treated-pointed-pegs-50-x-50mm-x-0-6m/p/944170,https://dam-assets.apps.travisperkins.group/om533g4/GPID_1100870325_IMG_00.jpeg?width=300&height=300,"High pressure treated pointed site pegsHigh pressure treated to UC3 in an attractive green finish for improved durabilityHigh Pressure treated with Tanalith 'E' (or similar)All of our softwoods are responsibly sourcedOther lengths available to orderRange of lengths normally available: 450mm, 600mm and 1200mmSold individuallyView more"
Bsw Green Treated Pointed Pegs 50 x 50mm x 0.45m,£6.78,Site Pegs,https://www.travisperkins.co.uk/site-pegs/bsw-green-treated-pointed-pegs-50-x-50mm-x-0-45m/p/944606,https://dam-assets.apps.travisperkins.group/oyy13gy/GPID_1100870324_IMG_00.jpg?width=300&height=300,"High pressure treated pointed site pegsHigh pressure treated to UC3 in an attractive green finish for improved durabilityHigh Pressure treated with Tanalith 'E' (or similar)All of our softwoods are responsibly sourcedOther lengths available to orderRange of lengths normally available: 450mm, 600mm and 1200mmView more"
Bsw Green Treated Pointed Pegs 50 x 50mm x 1.2m,£7.92,Site Pegs,https://www.travisperkins.co.uk/site-pegs/bsw-green-treated-pointed-pegs-50-x-50mm-x-1-2m/p/944347,https://dam-assets.apps.travisperkins.group/oj0mn73/GPID_1100870322_IMG_00.jpg?width=300&height=300,"High pressure treated pointed site pegsHigh pressure treated to UC3 in an attractive green finish for improved durabilityHigh Pressure treated with Tanalith 'E' (or similar)All of our softwoods are responsibly sourcedOther lengths available to orderRange of lengths normally available: 450mm, 600mm and 1200mmView more"
Treated Roofing Batten 25 x 50MM 4.8M BS5534,£7.84,Roofing Batten,https://www.travisperkins.co.uk/roofing-batten/treated-roofing-batten-25-x-50mm-4-8m-bs5534/p/233475,https://dam-assets.apps.travisperkins.group/ygqw2/GPID_1000687331_IMG_00.png?width=300&height=300,Roofing battens suitable to provide the fixing point for roofing materials such as shingles or tiles.Calibrated spruce and pine roofing battens with coloured VAC-VAC treatment
John Brash BS5534 Red Graded Treated Timber Roofing Batten 25mm x 50mm,£5.93,Roofing Batten,https://www.travisperkins.co.uk/roofing-batten/john-brash-bs5534-red-graded-treated-timber-roofing-batten-25mm-x-50mm/p/9000044441,https://dam-assets.apps.travisperkins.group/J5QLZ/GPID_1000773649_IMG_00.jpeg?width=300&height=300,"For fixing roof tiles, slates and sheetsGraded to BS5534Pressure treated to enhance resistance to rot and insect attack.All of our softwoods are responsibly sourced"
Bsw Green Treated BS5534 Roofing Batten 25 x 50mm x 4.8m,£7.79,Roofing Batten,https://www.travisperkins.co.uk/roofing-batten/bsw-green-treated-bs5534-roofing-batten-25-x-50mm-x-4-8m/p/944372,https://dam-assets.apps.travisperkins.group/orm660r/GPID_1100870315_IMG_00.png?width=300&height=300,"Pressure treated BS5534 graded roofing battenHigh pressure treated to UC2 in an attractive green finish for improved durabilityCalibrated spruce and pine roofing battens with coloured VAC-VAC treatmentCertified, meaning that the timber is sourced from sustainable forestsMade from slow grown European softwood"
Treated Roofing Batten 25 x 50MM 4.2M BS5534,£10.49,Roofing Batten,https://www.travisperkins.co.uk/roofing-batten/treated-roofing-batten-25-x-50mm-4-2m-bs5534/p/621610,https://dam-assets.apps.travisperkins.group/n8043/GPID_1000687508_IMG_00.png?width=300&height=300,N/A
Tarkett Safetred Spectrum Vinyl Floor Tile 500 x 500 x 2mm Onyx,£23.71,Safety Vinyl Flooring,https://www.travisperkins.co.uk/safety-vinyl-flooring/tarkett-safetred-spectrum-vinyl-floor-tile-500-x-500-x-2mm-onyx/p/319405,https://dam-assets.apps.travisperkins.group/YRepd/GPID_1000572277_IMG_00.jpg?width=300&height=300,"Available in a range of optimistic colours with bright speckled chips, Safetred Spectrum is an ideal flooring solution for any area that presents a risk of slips or falls. An anti-slip grip provides a high level of protection, while its reinforced surface protects against stains and eases maintenance.Optimistic colours with speckled designSlip-resistant R10 gripReinforced surface for stain resistanceEasy to clean and maintainTile Format100% Phthalate-free100% RecyclableView more"
Tarkett Safetread Spectrum Floor TILE500 x 500 x 2mm Battleship 810,£20.30,Safety Vinyl Flooring,https://www.travisperkins.co.uk/safety-vinyl-flooring/tarkett-safetread-spectrum-floor-tile500-x-500-x-2mm-battleship-810/p/914103,https://dam-assets.apps.travisperkins.group/dRerJ/GPID_1000067072_IMG_00.jpg?width=300&height=300,N/A
Tarkett Safetred Spectrum Vinyl Floor Tile 500 x 500 x 2mm Shale,£21.66,Safety Vinyl Flooring,https://www.travisperkins.co.uk/safety-vinyl-flooring/tarkett-safetred-spectrum-vinyl-floor-tile-500-x-500-x-2mm-shale/p/754978,https://dam-assets.apps.travisperkins.group/3WaN0/GPID_1000399995_IMG_00.png?width=300&height=300,"Available in a range of optimistic colours with bright speckled chips, Safetred Spectrum is an ideal flooring solution for any area that presents a risk of slips or falls. An anti-slip grip provides a high level of protection, while its reinforced surface protects against stains and eases maintenance.Optimistic colours with speckled designSlip-resistant R10 gripReinforced surface for stain resistanceEasy to clean and maintainTile Format100% Phthalate-free100% RecyclableView more"
Tarkett Safe T Primo Flooring Medium Blue 806,£33.80,Safety Vinyl Flooring,https://www.travisperkins.co.uk/safety-vinyl-flooring/tarkett-safe-t-primo-flooring-medium-blue-806/p/394768,https://dam-assets.apps.travisperkins.group/a6ePX/GPID_1100569145_IMG_01.jpg?width=300&height=300,"Primo Safe.T combines best-in-class performance with low-cost maintenance to deliver an ideal solution for commercial and wet areas. It provides a confident grip for bare feet and reduces the risk of slipping, even when covered with soap and water.Slip-resistant R10 gripEasy to clean and maintainMulti-solution offer, combining design and functional optionsCoordinated welding rods for perfect finishing100% Phthalate-free100% RecyclableView more"
Tarkett Safetread Spectrum Floor TILE500 x 500 x 2mm Sepia 820,£20.26,Safety Vinyl Flooring,https://www.travisperkins.co.uk/safety-vinyl-flooring/tarkett-safetread-spectrum-floor-tile500-x-500-x-2mm-sepia-820/p/914102,https://dam-assets.apps.travisperkins.group/kaQm6/GPID_1000067071_IMG_00.jpg?width=300&height=300,N/A
Tarkett Safetred Spectrum Ecru 815,£999.84,Safety Vinyl Flooring,https://www.travisperkins.co.uk/safety-vinyl-flooring/tarkett-safetred-spectrum-ecru-815/p/414547,https://dam-assets.apps.travisperkins.group/P0q45/GPID_1100586092_IMG_00.jpg?width=300&height=300,N/A
Tarkett Safetred Vinyl Flooring Sheet Jupiter 2 x 20m,£782.88,Safety Vinyl Flooring,https://www.travisperkins.co.uk/safety-vinyl-flooring/tarkett-safetred-vinyl-flooring-sheet-jupiter-2-x-20m/p/174889,https://dam-assets.apps.travisperkins.group/14N88/GPID_1000118440_IMG_00.png?width=300&height=300,"Safetred Universal is our classic safety floor solution for any area that presents a risk of slips or falls. An anti-slip grip provides a high level of protection, while its reinforced surface protects against stains and eases maintenanceReinforced surface for stain resistanceEasy to clean and maintain100% Phthalate-free100% RecyclableView more"
Tarkett Safetred Vinyl Flooring Sheet Pulsar 2 x 20m,£694.08,Safety Vinyl Flooring,https://www.travisperkins.co.uk/safety-vinyl-flooring/tarkett-safetred-vinyl-flooring-sheet-pulsar-2-x-20m/p/635575,https://dam-assets.apps.travisperkins.group/gYzDn/GPID_1000399988_IMG_00.jpg?width=300&height=300,"Safetred Universal is our classic safety floor solution for any area that presents a risk of slips or falls. An anti-slip grip provides a high level of protection, while its reinforced surface protects against stains and eases maintenanceSlip-resistant R10 gripReinforced surface for stain resistanceEasy to clean and maintain100% Phthalate-free100% RecyclableView more"
Straight Ltd WB200BUT Garden Lake Water Butt,£56.15,Water Butts & Accessories,https://www.travisperkins.co.uk/water-butts-and-accessories/straight-ltd-wb200but-garden-lake-water-butt/p/177943,https://dam-assets.apps.travisperkins.group/WRBWo/GPID_1000090286_IMG_00.jpeg?width=300&height=300,N/A
Straight Wbtrdkit Water Butt Rain Diverter Kit Black 0.5m,£10.20,Water Butts & Accessories,https://www.travisperkins.co.uk/water-butts-and-accessories/straight-wbtrdkit-water-butt-rain-diverter-kit-black-0-5m/p/177972,https://dam-assets.apps.travisperkins.group/K21aG/GPID_1000090288_IMG_00.jpeg?width=300&height=300,"Just attach the rain diverter to a downpipe and divert rainwater to a water butt or other collector.Allows collection of rainwater from downpipesSimple to installFits standard 68mm round and 65mm square downpipesDoubles up as an overflow device, stopping the water butt from overflowing"
Straight WBTSTANDBLK01 Water Butt Stand Black For 200ltr Butt,£22.61,Water Butts & Accessories,https://www.travisperkins.co.uk/water-butts-and-accessories/straight-wbtstandblk01-water-butt-stand-black-for-200ltr-butt/p/177959,https://dam-assets.apps.travisperkins.group/XO3aY/GPID_1000090287_IMG_00.jpeg?width=300&height=300,N/A
Straight WBTTAP01# Water Butt Tap Black,£3.80,Water Butts & Accessories,https://www.travisperkins.co.uk/water-butts-and-accessories/straight-wbttap01-water-butt-tap-black/p/178017,https://dam-assets.apps.travisperkins.group/ormm2z5/GPID_1000090290_IMG_00.jpeg?width=300&height=300,"Replacement water butt tap, or for use with another receiving container.Plastic tap to fit almost any water buttComplete with nut and washer25mm fitting, 3/4""BSP threadCompatible with Hozelock and Gardena style fittings"
18mm x 1220mm x 2440mm CaberMDF Trade,£52.40,"MDF, Hardboard & Pinboard",https://www.travisperkins.co.uk/mdf-hardboard-and-pinboard/18mm-x-1220mm-x-2440mm-cabermdf-trade/p/712437,https://dam-assets.apps.travisperkins.group/BJg5G/GPID_1000192017_IMG_00.jpeg?width=300&height=300,N/A
