product,price,category,link,image
Shire Barn Style Shed - 7 x 7ft,"£1,015.00",Shed & Outdoor Building Deals,https://www.homebase.co.uk/shire-barn-style-shed-7-x-7ft/12886994.html,https://static.thcdn.com/images/xsmall/webp//productimg/original/12886994-2824849861224852.jpg
Shire Hampton Summerhouse - 7 x 7ft,"£1,200.00",Shed & Outdoor Building Deals,https://www.homebase.co.uk/shire-hampton-summerhouse-7-x-7ft/12887159.html,https://static.thcdn.com/images/xsmall/webp//productimg/original/12887159-2124859122877007.jpg
Shire Hampton Summerhouse - 8 x 8ft,"£1,550.00",Shed & Outdoor Building Deals,https://www.homebase.co.uk/shire-hampton-summerhouse-8-x-8ft/12887163.html,https://static.thcdn.com/images/xsmall/webp//productimg/original/12887163-1164851542479881.jpg
Shire Avance Summerhouse - 7x5ft,£750.00,Shed & Outdoor Building Deals,https://www.homebase.co.uk/shire-avance-summerhouse-7x5ft/12886996.html,https://static.thcdn.com/images/xsmall/webp//productimg/original/12886996-2864843286156316.jpg
Shire Haddon Summerhouse (incl. installation) - 7 x 5ft,"£1,365.00",Shed & Outdoor Building Deals,https://www.homebase.co.uk/shire-haddon-summerhouse-incl.-installation-7-x-5ft/12887381.html,https://static.thcdn.com/images/xsmall/webp//productimg/original/12887381-1534849863523281.jpg
Shire Avance Summerhouse (incl. installation) -  7x5ft,"£1,360.00",Shed & Outdoor Building Deals,https://www.homebase.co.uk/shire-avance-summerhouse-incl.-installation-7x5ft/12887380.html,https://static.thcdn.com/images/xsmall/webp//productimg/original/12887380-1454849863177966.jpg
Shire 6x6ft Arran Garden Shed,£875.00,Shed & Outdoor Building Deals,https://www.homebase.co.uk/shire-6x6ft-arran-garden-shed/13508657.html,https://static.thcdn.com/images/xsmall/webp//productimg/original/13508657-1044926480167193.jpg
Shire 13 x 7ft Westminster Summerhouse - Including Installation,"£2,795.00",Shed & Outdoor Building Deals,https://www.homebase.co.uk/shire-13-x-7ft-westminster-summerhouse-including-installation/13505301.html,https://static.thcdn.com/images/xsmall/webp//productimg/original/13505301-1284933733336073.jpg
Shire 10 x 10ft Highclere Double Door Summerhouse,"£2,470.00",Shed & Outdoor Building Deals,https://www.homebase.co.uk/shire-10-x-10ft-highclere-double-door-summerhouse/13505320.html,https://static.thcdn.com/images/xsmall/webp//productimg/original/13505320-4114933733375385.jpg
Shire 12 x 30ft Mammoth Double Door Garden Shed - Including Installation,"£10,725.00",Shed & Outdoor Building Deals,https://www.homebase.co.uk/shire-12-x-30ft-mammoth-double-door-garden-shed-including-installation/13505276.html,https://static.thcdn.com/images/xsmall/webp//productimg/original/13505276-5674931993336226.jpg
Shire 7 x 5ft Lewis Garden Shed,£810.00,Shed & Outdoor Building Deals,https://www.homebase.co.uk/shire-7-x-5ft-lewis-garden-shed/13505258.html,https://static.thcdn.com/images/xsmall/webp//productimg/original/13505258-3264926483398019.jpg
Shire 6 x 6ft Gazebo Summerhouse,"£1,100.00",Shed & Outdoor Building Deals,https://www.homebase.co.uk/shire-6-x-6ft-gazebo-summerhouse/13505312.html,https://static.thcdn.com/images/xsmall/webp//productimg/original/13505312-4214931993262399.jpg
Shire 10 x 15ft Garden Workshop,"£2,825.00",Shed & Outdoor Building Deals,https://www.homebase.co.uk/shire-10-x-15ft-garden-workshop/13505263.html,https://static.thcdn.com/images/xsmall/webp//productimg/original/13505263-1094931993611515.jpg
Shire 10 x 6ft Lewis Garden Shed - Including Installation,"£1,640.00",Shed & Outdoor Building Deals,https://www.homebase.co.uk/shire-10-x-6ft-lewis-garden-shed-including-installation/13505266.html,https://static.thcdn.com/images/xsmall/webp//productimg/original/13505266-1624926479606661.jpg
Shire 10 x 8ft Highclere Double Door Summerhouse,"£2,190.00",Shed & Outdoor Building Deals,https://www.homebase.co.uk/shire-10-x-8ft-highclere-double-door-summerhouse/13505313.html,https://static.thcdn.com/images/xsmall/webp//productimg/original/13505313-1734933734108663.jpg
